Air temperature (C),Relative humidity (%),Air velocity (m/s),Radiant temperature (C),Clo,Met,Thermal comfort
26.0,54.4,0.21,26.3,0.47,1.6,3.0
23.5,50.0,0.1,23.7,0.79,1.24,5
21.8,36.9,0.06,22.1,0.8,1.4,4
13.5,37.8,0.23,13.6,0.8,1.2,1.0
29.1,76.5,0.53,30.5,0.29,0.8,3.0
23.4,46.3,0.09,23.3,0.9,1.2,3.0
20.3,52.5,0.2,22.3,0.46,1.1,5.0
23.1,40.6,0.13,23.3,0.44,1.34,5
23.7,14.7,0.07,22.5,0.6,1.2,5.0
24.9,61.8,0.08,25.5,0.6,1.0,5.0
26.5,40.1,0.13,28.0,0.52,1.0,5.0
21.5,27.1,0.08,21.3,0.96,1.2,3
23.6,28.6,0.06,22.9,1.1,1.6,3.0
23.5,41.3,0.07,22.6,0.7,1.0,4.0
23.0,35.3,0.11,23.0,0.78,1.0,4
22.3,46.4,0.05,22.7,0.84,1.2,3
22.8,39.0,0.2,23.6,0.57,1.25,1.0
23.5,27.8,0.08,23.8,0.43,1.4,3
24.4,49.2,0.02,24.4,0.68,1.0,6.0
22.4,57.0,0.11,22.5,0.51,1.29,5
21.6,56.0,0.38,22.2,0.74,1.6,6
24.2,32.4,0.11,24.5,0.29,1.37,5
19.9,36.4,0.13,20.0,0.64,1.2,5.0
21.6,47.1,0.06,22.2,0.5,1.0,5.0
24.2,63.4,0.46,26.0,0.32,1.55,5
23.2,59.0,0.21,23.4,0.51,1.29,5
19.9,56.2,0.11,21.3,0.46,1.1,2.0
23.8,68.4,0.07,23.8,0.76,1.0,4.0
22.7,41.0,0.2,23.3,0.43,1.28,4.0
23.8,23.7,0.07,23.9,0.6,1.0,3
26.6,38.4,0.07,25.4,0.7,1.2,5.0
23.4,57.0,0.15,23.9,0.62,1.44,6
28.8,63.4,0.57,31.6,0.22,1.2,3.0
25.1,39.0,0.05,25.3,0.76,0.96,2.0
23.4,42.0,0.04,23.1,0.84,1.05,5.0
26.8,55.1,0.17,27.2,0.41,1.2,3.0
21.2,51.0,0.08,22.4,0.88,1.19,5.0
26.8,63.8,0.24,27.0,0.49,1.6,5.0
21.7,30.4,0.05,21.6,0.73,1.2,5
24.0,55.4,0.08,23.7,0.4,1.1,3.0
28.9,48.7,0.28,29.3,0.4,2.0,3.0
23.4,38.4,0.08,23.8,0.74,1.0,4
22.2,44.6,0.12,21.9,0.62,1.0,5
13.8,36.7,0.12,14.4,0.85,1.2,3.0
22.9,64.4,0.03,23.0,1.21,1.2,5.0
24.6,30.2,0.02,25.2,0.46,1.6,5.0
22.2,53.3,0.07,22.5,0.64,1.2,6
25.5,47.1,0.15,21.2,1.4,1.0,2.0
23.1,61.0,0.14,23.2,0.26,1.59,6
28.6,51.7,0.03,28.8,0.39,1.2,5.0
30.8,27.3,0.22,29.6,0.63,1.1,5.0
21.3,36.0,0.14,22.2,0.93,1.32,6.0
23.3,26.4,0.04,23.3,0.8,1.4,3
23.4,52.8,0.04,23.6,0.52,1.0,2.0
23.6,36.1,0.19,22.2,1.56,1.1,2.0
21.7,38.9,0.09,22.4,1.0,1.72,4
27.8,49.4,0.34,28.1,0.5,1.2,5.0
22.7,41.0,0.18,22.9,1.23,1.24,6.0
27.0,50.3,0.35,26.7,0.6,1.1,5.0
21.7,48.2,0.08,22.2,0.46,1.1,5.0
28.8,74.0,0.57,29.3,0.38,1.2,3.0
23.2,44.6,0.04,23.6,0.81,1.2,3
26.8,63.9,0.31,27.8,0.52,1.2,5.0
29.4,59.2,0.62,32.3,0.49,1.2,3.0
24.0,39.9,0.22,23.7,0.52,1.17,5
24.1,34.3,0.1,23.3,1.1,1.2,3.0
24.9,43.8,0.03,25.0,0.62,1.2,4
23.8,31.8,0.04,23.9,0.75,1.0,1
24.1,26.0,0.3,20.6,1.14,1.1,5.0
24.1,42.3,0.34,24.1,0.8,1.27,3
26.2,34.5,0.1,26.5,0.9,1.2,1.0
17.7,63.9,0.47,18.3,0.8,1.6,2.0
22.7,52.4,0.1,23.0,0.42,1.12,5
19.6,62.6,0.03,19.9,0.4,1.2,2.0
30.8,54.1,0.23,31.4,0.7,1.2,5.0
21.7,36.4,0.11,22.3,0.74,1.0,5
32.4,67.3,0.44,33.8,0.12,1.2,3.0
31.1,54.8,0.62,31.9,0.32,1.2,5.0
26.5,74.4,0.29,27.9,0.49,1.2,3.0
29.6,69.1,0.6,31.0,0.38,1.6,3.0
23.9,39.5,0.02,24.1,0.46,1.0,6
24.9,34.0,0.14,23.0,0.96,1.1,2.0
23.3,60.3,0.08,23.5,0.81,1.0,4.0
24.6,15.8,0.07,23.8,0.7,1.0,5.0
21.2,58.8,0.02,21.6,0.48,1.0,6.0
24.4,42.4,0.11,24.7,0.61,1.36,5
23.5,34.1,0.11,23.6,0.55,1.2,4
24.0,47.0,0.1,24.3,0.51,0.99,5
24.1,61.0,0.17,24.6,0.57,1.24,2
23.3,35.0,0.01,27.1,1.13,1.01,3.0
24.4,40.0,0.16,24.8,0.91,1.19,5
15.9,59.7,0.1,19.3,0.53,1.2,3.0
22.5,52.2,0.12,22.7,0.62,1.2,5
19.6,62.6,0.03,19.9,1.62,1.2,5.0
22.0,61.8,0.16,22.9,0.52,1.0,5.0
25.8,40.9,0.14,23.8,0.7,1.1,2.0
27.6,48.5,0.53,27.9,0.28,1.2,3.0
23.3,43.8,0.07,23.5,0.94,1.0,5
22.6,61.3,0.13,23.1,0.46,1.2,6.0
26.2,73.0,0.21,27.9,0.41,1.2,3.0
26.3,48.0,0.16,27.8,0.4,1.0,5.0
25.2,58.6,0.08,25.6,0.54,1.2,2
17.0,61.5,0.2,17.6,1.1,1.6,4
24.2,57.2,0.1,24.6,1.1,1.2,5.0
22.5,47.9,0.09,22.8,0.63,1.4,2
22.3,51.0,0.19,22.6,0.34,1.59,5
21.9,56.6,0.11,22.4,0.66,1.03,5
23.2,27.8,0.09,23.6,0.62,1.2,6
23.0,37.0,0.06,23.1,0.64,1.4,3
22.8,62.0,0.1,22.9,0.41,1.54,5
23.3,43.0,0.13,23.3,0.91,1.11,6.0
23.1,58.2,0.18,23.7,0.66,1.2,3.0
22.3,62.0,0.1,22.4,0.56,1.59,5
23.5,61.0,0.16,24.1,0.53,1.32,5
22.0,61.0,0.04,22.1,0.88,1.21,5.0
27.1,42.3,0.15,27.2,0.46,1.1,2.0
24.2,59.0,0.1,24.5,0.44,1.44,4
23.1,49.0,0.1,23.1,0.41,1.39,6
23.3,40.7,0.2,23.6,0.35,1.12,5
24.2,46.4,0.1,23.8,0.7,1.0,4.0
26.1,58.5,0.23,24.1,0.67,1.2,2.0
22.5,43.7,0.02,22.9,0.45,1.4,4
25.4,42.4,0.14,23.0,0.7,1.1,5.0
21.4,28.2,0.03,21.4,0.77,1.2,3
24.0,42.3,0.17,24.4,0.76,1.37,5
29.7,75.7,0.35,30.2,0.31,1.2,2.0
23.5,45.6,0.05,23.5,0.63,1.2,6.0
17.6,59.8,0.1,18.1,1.82,1.2,5.0
21.4,28.6,0.08,20.8,0.54,1.0,5
24.8,38.8,0.14,24.7,0.55,1.27,4
22.9,17.1,0.16,23.0,0.5,1.0,4.0
26.5,48.4,0.04,27.2,0.5,1.2,3.0
23.4,40.6,0.19,23.6,0.67,1.36,5
23.3,64.8,0.33,24.2,0.38,1.37,6
23.3,41.1,0.09,22.8,0.9,1.3,2.0
23.4,21.2,0.07,21.6,1.3,1.4,4.0
18.3,36.2,0.27,14.7,1.16,1.1,5.0
24.2,14.2,0.06,22.9,0.7,1.0,5.0
22.6,36.8,0.06,22.7,0.54,1.0,6
20.9,37.5,0.05,21.0,0.55,1.2,6
29.0,64.0,0.39,30.9,0.12,1.2,5.0
17.0,75.7,0.2,17.1,0.56,1.2,2.0
24.3,34.0,0.1,24.4,0.44,1.15,2.0
25.4,59.0,0.1,25.8,0.49,1.49,5
19.6,45.1,0.08,20.0,0.87,1.6,5
24.8,66.7,0.05,24.9,0.66,1.0,3.0
21.1,35.1,0.15,19.3,1.85,1.0,2.0
24.6,42.3,0.15,24.9,0.56,1.53,6
23.4,36.7,0.08,24.0,0.62,1.0,5
27.3,73.8,0.2,28.6,0.49,1.2,5.0
26.9,29.9,0.52,29.5,0.36,1.26,6
23.0,28.8,0.16,21.5,0.93,1.1,2.0
22.3,34.4,0.07,22.5,0.79,1.0,6
28.6,62.6,1.5,25.6,0.67,1.1,5.0
25.6,48.2,0.08,25.2,0.3,1.1,5.0
19.5,32.2,0.17,21.9,0.63,1.0,5.0
22.5,31.1,0.05,22.9,0.55,1.0,4
25.0,57.5,0.08,25.4,0.44,1.0,4.0
